"Name","Area","Address","Phone","Rating","Review","Total Reviews","Type","Thumbnail","Images","Video","Opening Time","Pincode","Doc ID","Latitude","Longitude","Web URL","Verified","Scraped At"
"Prudent International Health Clinics","Kalyani Nagar-Vadgaon Sheri","Above Bank Of Maharashtra Kalyani Nagar Vadgaon Sheri","09035149979","4.1","","657","ENT Doctors, Pathology Labs","https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dermatologists-2cj8ip5-250.jpg?clr=#660000","https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dermatologists-2cj8ip5.jpg?clr=#660000
https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dentists-zuupxyf0ke.jpg
https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dentists-eztwtkw7b1.jpg
https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dentists-328hi35x57.jpg
https://content.jdmagicbox.com/comp/pune/k4/020pxx20.xx20.151006165856.b5k4/catalogue/prudent-international-health-clinics-kalyani-nagar-pune-dentists-8w95od5e37.jpg","","Open 24 Hrs","411014","020PXX20.XX20.151006165856.B5K4","18.5475630965","73.9063301683","https://www.justdial.com/Pune/Prudent-International-Health-Clinics-Above-Bank-Of-Maharashtra-Kalyani-Nagar-Vadgaon-Sheri/020PXX20-XX20-151006165856-B5K4_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Dr.Shreeniwas S.Raut MBBS MD Medicine DM Oncologist","Ambegaon Road Ambegaon Budruk","Behind Ambegaon D Mart Ambegaon Budruk","09035265518","4.6","Wonderful hospital with top-class doctors and nurses. Dr.shreeniwas Raut is one of the greatest oncologist in pune, and I`m so happy to see him on top of their doctors. I really appreciate the opening of this great facility at katraj,pune area near to my house, and my experience was fantastic with their excellent care.","350","Hospitals, Dermatologists","https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-dermatologists-g4scwt2gt2-250.jpg","https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-dermatologists-g4scwt2gt2.jpg
https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-dermatologists-11kblykc1q.jpg?clr=#443922
https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-hospitals-i8y4thtm7w.jpg
https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-hospitals-j9di4h75gr.jpg
https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.201001185907.f3b4/catalogue/dr-shreeniwas-s-raut-mbbs-md-medicine-dm-oncologist-ambegaon-budruk-pune-hospitals-ongt2l53gm.jpg","","Open 24 Hrs","411046","020PXX20.XX20.201001185907.F3B4","18.450469944444","73.846145611111","https://www.justdial.com/Pune/DrShreeniwas-SRaut-MBBS-MD-Medicine-DM-Oncologist-Behind-Ambegaon-D-Mart-Ambegaon-Budruk/020PXX20-XX20-201001185907-F3B4_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Thatasthu Clinic And Rejuvenate Center","Karve Road Nal Stop","Near Jain Mandir Nal Stop","09035259372","4.3","","14","Dermatologists, ENT Doctors","https://content.jdmagicbox.com/comp/pune/z3/020pxx20.xx20.200222181855.n2z3/catalogue/thatasthu-clinic-and-rejuvenate-center-nal-stop-pune-general-physician-doctors-z6ny4jrxqd-250.jpg?clr=#660066","https://content.jdmagicbox.com/comp/pune/z3/020pxx20.xx20.200222181855.n2z3/catalogue/thatasthu-clinic-and-rejuvenate-center-nal-stop-pune-general-physician-doctors-z6ny4jrxqd.jpg?clr=#660066
https://content.jdmagicbox.com/comp/pune/z3/020pxx20.xx20.200222181855.n2z3/catalogue/thatasthu-clinic-and-rejuvenate-center-pune-gv4gjyydzn.jpg
https://content.jdmagicbox.com/comp/pune/z3/020pxx20.xx20.200222181855.n2z3/catalogue/thatasthu-clinic-and-rejuvenate-center-nal-stop-pune-general-physician-doctors-ohqfnaf11p.jpg
https://content.jdmagicbox.com/comp/pune/z3/020pxx20.xx20.200222181855.n2z3/catalogue/thatasthu-clinic-and-rejuvenate-center-nal-stop-pune-general-physician-doctors-pavspexneu.jpg
https://content.jdmagicbox.com/comp/service_catalogue/vertigo-doctors-020pxx20.xx20.200222181855.n2z3-vlmhmhu.jpg","","10:00 am - 8:00 pm","411004","020PXX20.XX20.200222181855.N2Z3","18.5068281058","73.8299539735","https://www.justdial.com/Pune/Thatasthu-Clinic-And-Rejuvenate-Center-Near-Jain-Mandir-Nal-Stop/020PXX20-XX20-200222181855-N2Z3_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Dr.Suraj Clinic","Chatrapati Chowk Road Wakad","Near Kaspati Wasti Wakad","07411717314","5","","1","Dermatologists, General Physician Doctors","https://content.jdmagicbox.com/comp/pune/h5/020pxx20.xx20.231206182628.z6h5/catalogue/dr-suraj-clinic-wakad-pune-general-physician-doctors-pq0z8vk8av-250.jpg?clr=#224422","https://content.jdmagicbox.com/comp/pune/h5/020pxx20.xx20.231206182628.z6h5/catalogue/dr-suraj-clinic-wakad-pune-general-physician-doctors-pq0z8vk8av.jpg?clr=#224422
https://content.jdmagicbox.com/comp/pune/h5/020pxx20.xx20.231206182628.z6h5/catalogue/6xda0kof325dwit-e869ntu280.jpg
https://content.jdmagicbox.com/comp/pune/h5/020pxx20.xx20.231206182628.z6h5/catalogue/mjj3l175k4hx0ew-g6q5hm0ouk.jpg
https://content.jdmagicbox.com/comp/pune/h5/020pxx20.xx20.231206182628.z6h5/catalogue/dr-suraj-clinic-wakad-pune-general-physician-doctors-ufwy8zaz0g.jpg","","10:00 am - 9:30 pm","411057","020PXX20.XX20.231206182628.Z6H5","18.595609638889","73.771133416667","https://www.justdial.com/Pune/DrSuraj-Clinic-Near-Kaspati-Wasti-Wakad/020PXX20-XX20-231206182628-Z6H5_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Prime Care Clinic & Diagnostics","Vadgaon Sheri","Beside Bramha SuncityOpposite Shivaji Park Vadgaon Sheri","09035196821","4.7","I had consultant Dr for my Grandmother diabetes and thyroid related problem ,after consultant him and following his diet chart and medicine with regular follow up now her diabetes and thyroid is around normal. Thank you Dr","62","Pathology Labs, Paediatricians","https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-kbfq6iq4qb-250.jpg","https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-kbfq6iq4qb.jpg
https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-1eu6l679bd.jpg
https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-g1he3d0zl9.jpg
https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-hdp35jcb8g.jpg
https://content.jdmagicbox.com/comp/pune/v5/020pxx20.xx20.180212222219.g9v5/catalogue/prime-care-clinic-and-diagnostics-vadgaon-sheri-pune-pathology-labs-o6am8hbnn4.jpg","1","11:00 am - 2:30 pm , 4:00 pm - 9:00 pm","411014","020PXX20.XX20.180212222219.G9V5","18.5524882","73.9286391","https://www.justdial.com/Pune/Prime-Care-Clinic-Diagnostics-Beside-Bramha-SuncityOpposite-Shivaji-Park-Vadgaon-Sheri/020PXX20-XX20-180212222219-G9V5_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Dr Lakhe's Health Care and Research Center","Box Street Wagholi","Behind EON IT Park Kharadi Wagholi","09035196909","4.9","","10","Dermatologists, Pathology Labs","https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-and-research-center-wagholi-pune-dermatologists-fq5osm5hoe-250.jpg","https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-and-research-center-wagholi-pune-dermatologists-fq5osm5hoe.jpg
https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-center-kharadi-pune-diabetologist-doctors-hltx7zguxc.jpg
https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-center-kharadi-pune-diabetologist-doctors-uy1des8sgk.jpg
https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-center-kharadi-pune-diabetologist-doctors-yi89z3jb13.jpg
https://content.jdmagicbox.com/comp/pune/a2/020pxx20.xx20.180216202723.l3a2/catalogue/dr-lakhe-s-health-care-center-kharadi-pune-diabetologist-doctors-1eysc90f1q.jpg","","3:00 pm - 8:00 pm","412207","020PXX20.XX20.180216202723.L3A2","18.587921972222","73.995932972222","https://www.justdial.com/Pune/Dr-Lakhes-Health-Care-and-Research-Center-Behind-EON-IT-Park-Kharadi-Wagholi/020PXX20-XX20-180216202723-L3A2_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Vighnaharta Super Speciality Hospital","Keshav Nagar Mundhwa"," Mundhwa","09035287207","4.6","Vighnaharta Super Speciality Hospital is excellent! It has good facilities, well-priced services, and is clean & hygienic. They always have immediate availability and provide accurate diagnosis. The staff provides gentle care.","249","Hospitals, Dermatologists","https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-multispeciality-hospital-manjari-budruk-pune-hospitals-d7l0zeszs2-250.jpg?clr=#57f1d","https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-multispeciality-hospital-manjari-budruk-pune-hospitals-d7l0zeszs2.jpg?clr=#57f1d
https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-multispeciality-hospital-manjari-budruk-pune-hospitals-a66apvmfma.jpg
https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-multispeciality-hospital-manjari-budruk-pune-hospitals-446no06dxx.jpg
https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-multispeciality-hospital-manjari-budruk-pune-hospitals-yld84w6k7o.jpg
https://content.jdmagicbox.com/comp/pune/x2/020pxx20.xx20.211203124249.m2x2/catalogue/vighnaharta-super-speciality-hospital-mundhwa-pune-hospitals-wkr9xuoorp.jpg","1","Open 24 Hrs","411036","020PXX20.XX20.211203124249.M2X2","18.529391","73.949733","https://www.justdial.com/Pune/Vighnaharta-Super-Speciality-Hospital-Mundhwa/020PXX20-XX20-211203124249-M2X2_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Lifeline Hospital","Nagar Road Wagholi","Near Shreyash Garden Opposite Bharat Petrol Pump Keshnand Phata Wagholi","09035048914","4.2","Very good service ! Staff is very well educated and politely taking care of all kinds of different patient at entry desk..
Doctors never let you feel you are at hospital ..reviewing the history of patient and suggesting tips for healthy life in addition to the treatment for which patient has come..
Overall, patients are taken care very well by staff and doctors ..","1,083","Hospitals, Orthopaedic Doctors","https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-hospitals-z91hs1wnco-250.jpg","https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-hospitals-z91hs1wnco.jpg
https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-dermatologists-19d85v7.jpg
https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-dermatologists-gmqix.jpg
https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-dermatologists-p38k0.jpg
https://content.jdmagicbox.com/comp/pune/l9/020p1218265096v9m3l9/catalogue/lifeline-hospital-wagholi-pune-dermatologists-u1wh3.jpg","","Open 24 Hrs","412207","020P1218265096V9M3L9","18.58236","73.989443","https://www.justdial.com/Pune/Lifeline-Hospital-Near-Shreyash-Garden-Opposite-Bharat-Petrol-Pump-Keshnand-Phata-Wagholi/020P1218265096V9M3L9_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Mohammad Wadi Multispeciality Clinic","NIBM-Kondhwa Khurd","Near Runawal Diamond Mall NIBM Kondhwa Khurd","07801873981","5","","1","General Surgeon Doctors, Hernia Doctors","https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/bzkxxlg09y72771-t0lamg4fl3-250.jpg?clr=#38382e","https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/bzkxxlg09y72771-t0lamg4fl3.jpg?clr=#38382e
https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/wosplfrv2vbw6p0-ggk5offtyh.jpg
https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/2x6n6gqirn6ti6d-i58tv0fo5e.jpg
https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/bj9q9wmntbmngl6-9otf51zsgz.jpg
https://content.jdmagicbox.com/comp/pune/u4/020pxx20.xx20.230711112538.z5u4/catalogue/8q7ri6syspvyp9p-k0wmkq40yz.jpg","","9:00 am - 2:00 pm , 4:00 pm - 8:00 pm","411048","020PXX20.XX20.230711112538.Z5U4","18.463537972222","73.904407","https://www.justdial.com/Pune/Mohammad-Wadi-Multispeciality-Clinic-Near-Runawal-Diamond-Mall-NIBM-Kondhwa-Khurd/020PXX20-XX20-230711112538-Z5U4_BZDET","Yes","2024-02-10T15:19:08.064Z"
"Shradha Polyclinic","Baner Raod Baner","Near Orchid School Baner","09035092880","4.4","I was suffering from severe itching in my body with rashes all over ..every time dr use to prescribe me cetrizine and my itching use to temporary hold and again appear. i visited dr. shah clinic. skin specialist through just dial ..i was diagnosed with psoriasis and i took treatment from dr. shah. superb experience i was well within 20 days. he did the right diagnosis and helped me a lot. ","363","Dermatologists, Pathology Labs","https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shraddha-clinic-aundh-pune-dermatologists-1zs80ov-250.jpg?clr=#4c381a","https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shraddha-clinic-aundh-pune-dermatologists-1zs80ov.jpg?clr=#4c381a
https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shradha-polyclinic-baner-pune-general-physician-doctors-473d3lk98l.jpg
https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shradha-polyclinic-baner-pune-general-physician-doctors-vygha4j4v6.jpg
https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shradha-polyclinic-baner-pune-general-physician-doctors-khbape75fc.jpg
https://content.jdmagicbox.com/comp/pune/h9/020pxx20.xx20.130731200024.k3h9/catalogue/shradha-polyclinic-baner-pune-general-physician-doctors-5bn4g05p1p.jpg","1","9:30 am - 9:30 pm","411045","020PXX20.XX20.130731200024.K3H9","18.5637254","73.7818294","https://www.justdial.com/Pune/Shradha-Polyclinic-Near-Orchid-School-Baner/020PXX20-XX20-130731200024-K3H9_BZDET","Yes","2024-02-10T15:19:08.064Z"
